代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	
002594	比亚迪	-2.53	58.45	-1.52	58.45	58.46	151949	31	0.02	          1.33	59.90	60.66	58.18	59.97	    75.97	901187200	  3.05	汽车整车	深圳	4.14	59.31	69057	82892	  0.83	3	6	--  	32322000	
600584	长电科技	6.51	20.95	1.28	20.91	20.93	296763	658	0.92	          3.01	19.70	21.00	19.70	19.67	--  	607986688	  3.58	半导体	江苏	6.61	20.49	120900	175863	  0.69	50	10	--  	5074700	
163402	兴全趋势	0.13	0.754	0.001	0.753	0.754	174081	300	0.13	          1.15	0.752	0.755	0.750	0.753	--  	13101757	  1.69			0.66	0.753	91436	82645	  1.11	3155	20786	--  	--  	
600030	中信证券	0.68	22.31	0.15	22.31	22.32	171730	91	-0.03	          0.17	22.09	22.37	22.05	22.16	    23.58	382186240	  1.19	证券	深圳	1.44	22.26	78419	93311	  0.84	169	467	--  	11511100	
002099	海翔药业	-0.33	6.13	-0.02	6.13	6.14	30882	4	-0.15	          0.19	6.17	6.17	6.07	6.15	    12.87	18908516	  1.21	化学制药	浙江	1.63	6.12	17679	13203	  1.34	1014	250	--  	248700	
002456	欧菲光	3.15	14.07	0.43	14.06	14.07	541582	179	0.14	          2.03	13.62	14.25	13.51	13.64	   158.56	755035712	  2.66	元器件	深圳	5.43	13.94	224935	316647	  0.71	30	374	--  	11330500	
603966	法兰泰克	1.16	9.63	0.11	9.62	9.63	3107	9	0.42	          0.15	9.45	9.65	9.45	9.52	    19.66	2971587	  1.11	机械基件	江苏	2.10	9.56	1183	1924	  0.61	15	21	--  	30200	
603811	诚意药业	-0.16	24.33	-0.04	24.31	24.33	4265	31	-0.07	          0.36	24.34	24.59	24.25	24.37	    21.95	10416146	  1.69	化学制药	浙江	1.40	24.42	2346	1919	  1.22	2	2	--  	56000	
600201	生物股份	0.09	21.34	0.02	21.32	21.34	29677	14	0.71	          0.26	21.42	21.42	21.09	21.32	   108.73	63015936	  1.29	生物制药	内蒙	1.55	21.23	14124	15553	  0.91	142	2	--  	863200	
000928	中钢国际	0.00	4.14	0.00	4.13	4.14	17369	80	-0.47	          0.14	4.11	4.16	4.11	4.14	    12.91	7190384	  0.92	建筑工程	吉林	1.21	4.14	9607	7762	  1.24	618	150	--  	163600	
300207	欣旺达	4.46	14.76	0.63	14.75	14.76	159773	44	0.61	          1.15	14.34	14.88	14.11	14.13	    34.60	232732112	  2.44	元器件	深圳	5.45	14.57	63336	96437	  0.66	30	47	--  	3232200	
000049	德赛电池	2.55	34.97	0.87	34.95	34.97	16816	1	0.14	          0.82	34.10	35.18	34.00	34.10	    16.03	58412676	  1.97	电气设备	深圳	3.46	34.74	7069	9747	  0.73	2	6	--  	204600	
600884	杉杉股份	5.06	10.79	0.52	10.78	10.79	85251	4	0.19	          0.76	10.45	10.85	10.37	10.27	    31.58	90811192	  4.60	综合类	浙江	4.67	10.65	40687	44564	  0.91	211	291	--  	2066000	
300073	当升科技	5.79	23.19	1.27	23.19	23.20	64460	2	0.00	          1.50	22.25	23.28	22.25	21.92	    34.58	147445536	  3.95	矿物制品	北京	4.70	22.87	28877	35583	  0.81	31	5	--  	2476400	
600741	华域汽车	1.35	21.83	0.29	21.82	21.83	69292	20	-0.26	          0.22	21.69	22.47	21.63	21.54	    10.48	152785008	  1.66	汽车配件	上海	3.90	22.05	36817	32475	  1.13	2	3	--  	2802300	
数据来源:通达信
